date,stock,transaction_type,price,quantity,total_value
2024-03-01,Naspers,BUY,3450,1,3450
2024-03-02,MTN,BUY,132,6,792
2024-03-03,Shoprite,BUY,280,2,560
2024-03-04,Naspers,SELL,3500,1,3500
2024-03-05,MTN,SELL,133,2,266
2024-03-06,Shoprite,BUY,285,1,285
2024-03-07,Naspers,BUY,3480,1,3480
2024-03-08,MTN,BUY,134,3,402
2024-03-09,Shoprite,SELL,290,1,290
2024-03-10,Naspers,BUY,3490,1,3490
2024-03-11,MTN,BUY,135,4,540
2024-03-12,Shoprite,BUY,295,2,590
2024-03-13,Naspers,SELL,3550,1,3550
2024-03-14,MTN,SELL,136,3,408
2024-03-15,Shoprite,BUY,300,1,300
